timestamp,testName,stepName,url,LCP_ms,INP_ms,CLS,TTFB_ms,FCP_ms,TTI_ms,TBT_ms,documentCompleteTime_ms,pageLoadTime_ms,requestCount,totalPageSizeMB,dnsLookupTime_ms,FPS
2026-05-19T12:40:03.779Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,396,112,0.2881,30.1,396,1091.7,N/A,3387.5,3399.5,250,12.39,0,60
2026-05-19T12:40:06.377Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,328,N/A,0.1216,31.6,328,566.9,N/A,1310.7,1311.1,117,3.11,0,60
2026-05-19T12:40:07.903Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,328,208,0.1216,31.6,328,566.9,N/A,1310.7,1311.1,18,0,0,60
2026-05-19T12:40:11.102Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,396,N/A,0.0903,34,396,528.3,N/A,2103.9,2108.3,149,2.37,0,60
2026-05-19T12:40:13.359Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,336,N/A,0,31.9,336,590.4,N/A,1113.2,1113.5,115,1.73,0,60
2026-05-19T12:40:21.628Z,Benchmark Perforce Multi-Page User Journey,Perforce Software Popup Tab,https://www.perforce.com/,468,N/A,0.0492,13.3,468,845.2,N/A,4343,4371.8,18,0.02,0,60
2026-05-19T12:40:29.677Z,Benchmark Perforce Multi-Page User Journey,Main Landing Page,https://www.perforce.com/,372,88,0.2881,29.5,372,1073.4,N/A,3471.5,3511.1,259,13.85,0,60
2026-05-19T12:40:32.208Z,Benchmark Perforce Multi-Page User Journey,Browse Products,https://www.perforce.com/products,280,N/A,0.1474,32.5,280,591.9,N/A,1327.7,1328,120,2.71,0,60
2026-05-19T12:40:33.573Z,Benchmark Perforce Multi-Page User Journey,Digital IP Management,https://www.perforce.com/products#p-20457,280,208,0.1474,32.5,280,591.9,N/A,1327.7,1328,13,0,0,60
2026-05-19T12:40:35.759Z,Benchmark Perforce Multi-Page User Journey,Explore IPLM,https://www.perforce.com/products/helix-iplm,252,N/A,0.0001,34.1,252,426.9,N/A,1079.4,1080.4,135,2.26,0,60
2026-05-19T12:40:38.647Z,Benchmark Perforce Multi-Page User Journey,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,316,N/A,0.0074,31.3,316,374.9,N/A,1681,1683.7,129,1.77,0,60
